iso3c,pop2015
ABW,103889
AFG,32526562
AGO,25021974
ALB,2896679
AND,79218
ARE,9156963
ARG,43416755
ARM,3017712
ATG,91818
AUS,23968973
AUT,8544586
AZE,9753968
BDI,11178921
BEL,11299192
BEN,10879829
BFA,18105570
BGD,160995642
BGR,7149787
BHR,1377237
BHS,388019
BIH,3810416
BLR,9495826
BLZ,359287
BOL,10724705
BRA,207847528
BRB,284215
BRN,423188
BTN,774830
BWA,2262485
CAF,4900274
CAN,35939927
CHE,8298663
CHL,17948141
CHN,1366864386
CIV,22701556
CMR,23344179
COD,77266814
COG,4620330
COL,48228704
COM,788474
CPV,520502
CRI,4807850
CUB,11389562
CUW,157203
CYM,58435
CYP,1165300
CZE,10543186
DEU,80688545
DJI,887861
DMA,72003
DNK,5669081
DOM,10528391
DZA,39666519
ECU,16144363
EGY,91508084
ERI,5227791
ESH,513000
ESP,46121699
EST,1312558
ETH,99390750
FIN,5503457
FJI,892145
FRA,64395345
FSM,630804
GAB,1725292
GBR,64715810
GEO,3999812
GHA,27409893
GIN,12608590
GLP,468450
GMB,1990924
GNB,1844325
GNQ,845060
GRC,10954617
GRD,106825
GTM,16342897
GUF,268606
GUM,169885
GUY,767085
HKG,7287983
HND,8075060
HRV,4240317
HTI,10711067
HUN,9855023
IDN,257563815
IND,1311050527
IRL,4688465
IRN,79109272
IRQ,36423395
ISL,329425
ISR,8064036
ITA,59797685
JAM,2793335
JOR,7594547
JPN,126573481
KAZ,17625226
KEN,46050302
KGZ,5939962
KHM,15577899
KIR,112423
KNA,54191
KOR,50293439
KWT,3892115
LAO,6802023
LBN,5850743
LBR,4503438
LBY,6278438
LCA,184999
LIE,36925
LKA,20715010
LSO,2135022
LTU,2878405
LUX,567110
LVA,1970503
MAC,587606
MAR,34377511
MCO,37831
MDA,4068897
MDG,24235390
MDV,363657
MEX,127017224
MHL,52634
MKD,2078453
MLI,17599694
MLT,418670
MMR,53897154
MNE,625781
MNG,2959134
MOZ,27977863
MRT,4067564
MTQ,396425
MUS,1273212
MWI,17215232
MYS,30331007
MYT,240015
NAM,2458830
NCL,263118
NER,19899120
NGA,182201962
NIC,6082032
NLD,16924929
NOR,5210967
NPL,28513700
NZL,33026025
OMN,4490541
PAK,188924874
PAN,3929141
PER,31376670
PHL,100699395
PLW,20918
PNG,7619321
POL,38611794
PRI,3683238
PRK,25155317
PRT,10349803
PRY,6639123
PSE,4668466
PYF,282764
QAT,2235355
REU,861154
ROU,19511324
RUS,143456918
RWA,11609666
SAU,31540372
SDN,40234882
SEN,15129273
SGP,5603740
SLB,583591
SLE,6453184
SLV,6126583
SOM,10787104
SRB,8850975
SSD,12339812
STP,190344
SUR,542975
SVK,5426258
SVN,2067526
SWE,9779426
SWZ,1286970
SXM,33609
SYC,96471
SYR,18502413
TCA,33098
TCD,14037472
TGO,7304578
THA,67959359
TJK,8481855
TKM,5373502
TLS,1184765
TON,106170
TTO,1360088
TUN,11253554
TUR,78665830
TWN,23381038
TZA,53470420
UGA,39032383
UKR,44823765
URY,3431555
USA,321773631
UZB,29893488
VCT,109462
VEN,31108083
VIR,106291
VNM,93447601
VUT,264652
WSM,193228
YEM,26832215
ZAF,117124119
ZMB,16211767
ZWE,15602751
