Country,"Population
(2014)","GDP (nominal)
(2014, US$ millions)","Military expenditures
(2014, US$ millions)","Military expenditures
(2014, % of GDP)","Defence expenditures,
(2014, US$ per capita)","Deployable military
(2013)"
 Albania,3020209,13262,135,1,42.2,8000
 Belgium,10449361,534672,5190,1,468,31000
 Bulgaria,6924716,55837,837,1.6,116,26000
 Canada,34834841,1788717,17452,1,492,70000
 Croatia,4470534,57159,875,1.5,204,16000
 Czech Republic,10627448,205658,2023,1,189,21000
 Denmark,5569077,340806,4457,1.3,796,19000
 Estonia,1257921,25953,509,2,392,6000
 France,66259012,2846889,62289,2.2,964,213000
 Germany,80996685,3859547,46455,1.2,562,184000
 Greece,10775557,238023,5318,2.2,479,109000
 Hungary,9919128,137104,1164,0.9,118,18000
 Iceland,317351,16693,4.5,0.03,14.2,0a
 Italy,61680122,2147952,30909,1.5,506,186000
 Latvia,2165165,31970,299,1.3,150,5000
 Lithuania,3505738,48232,377,0.8,126,9000
 Luxembourg,520672,62395,297,0.5,594,900
 Netherlands,16877351,866354,10086,1.2,600,43000
 Norway,5147792,500244,6773,1.4,1328,21000
 Poland,38346279,546644,10499,1.9,275,100000
 Portugal,10813834,230012,4201,1.9,396,35000
 Romania,21729871,199950,2543,1.3,118,66000
 Slovakia,5443583,99971,988,1,180,15000
 Slovenia,1988292,49506,490,1,233,7000
 Spain,47737941,1406855,12732,0.9,270,122000
 Turkey,79463663,806108,22618,2.2,298,494000
 United Kingdom,64105700,2945146,60482,2.2,952,174000
 United States,318892103,17418925,609914,3.5,1891,1370000
